"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"212","Nbcc (india) Limited","NBCC","P&F | F.A","-4.39%","95.49","1,53,32,890"
"157","Power Finance Corporation Limited","PFC","P&F | F.A","-4.41%","415.05","87,82,826"
"217","Nmdc Limited","NMDC","P&F | F.A","-4.51%","64.95","5,36,80,926"
"197","Inox Wind Limited","INOXWIND","P&F | F.A","-4.53%","172.14","1,78,96,389"
"170","Biocon Limited","BIOCON","P&F | F.A","-4.56%","311.85","43,26,450"
"152","Granules India Limited","GRANULES","P&F | F.A","-4.74%","452.55","14,70,837"
"187","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","-4.77%","213.48","57,83,298"
"111","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","-4.92%","914.35","57,36,784"
"215","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","-4.98%","81.15","1,24,29,494"
"193","Rbl Bank Limited","RBLBANK","P&F | F.A","-5.15%","188.09","2,25,39,465"
"21","Tata Elxsi Limited","TATAELXSI","P&F | F.A","-5.16%","5612.5","6,10,205"
"144","Berger Paints (i) Limited","BERGEPAINT","P&F | F.A","-5.55%","552.5","7,21,209"
"102","Cyient Limited","CYIENT","P&F | F.A","-5.79%","1170.8","58,52,653"
"220","Idea Cellular Limited","IDEA","P&F | F.A","-5.8%","7.47","1,87,36,54,285"
"112","Adani Green Energy Ltd","ADANIGREEN","P&F | F.A","-5.82%","912.55","68,24,718"
"133","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","-5.95%","655.2","97,84,886"
"68","Acc Limited","ACC","P&F | F.A","-6.2%","1938","12,48,608"
"115","SBI Cards & Payment Services Ltd","SBICARD","P&F | F.A","-6.37%","867.55","59,17,555"
"59","Angel One Ltd","ANGELONE","P&F | F.A","-6.81%","2328.4","20,44,434"
